dataset,d,AWNN,AKDE,AKNN,KDE,KNN,WKNN,,,,
abalone,3,5.8E+02,-7.8E+01,-3.3E+00,-6.5E+00,-3.9E+01,-1.8E+01,,,,
,,4.3E+02,8.4E+00,1.4E+00,3.1E-02,3.2E+01,7.1E+01,,,,
,4,-2.4E+03,-5.2E+02,-4.6E+02,-2.3E+01,-8.8E+02,-9.7E+02,,,,
,,4.1E+03,2.8E+01,5.8E+01,0.0E+00,2.3E+02,5.3E+02,,,,
,6,-2.4E+09,1.2E+05,-5.9E+05,-3.1E+02,-6.6E+05,-1.0E+06,,,,
,,1.7E+08,4.6E+05,4.7E+04,8.9E-01,5.2E+04,7.6E+04,,,,
australian,4,-2.4E+08,-3.7E+04,-2.2E+06,-2.3E+01,-2.4E+08,-2.4E+08,,,,
,,1.3E+08,3.1E+02,4.0E+05,3.1E-01,1.3E+08,1.3E+08,,,,
,8,-9.8E+13,-5.4E+10,-9.8E+13,-6.4E+02,-9.8E+13,-9.8E+13,,,,
,,8.9E+10,3.5E+09,4.5E+10,2.6E+01,8.9E+10,8.9E+10,,,,
,10,-1.2E+13,-3.2E+11,-1.2E+13,-2.9E+03,-1.2E+13,-1.2E+13,,,,
,,2.7E+13,7.1E+11,2.7E+13,1.7E+02,2.7E+13,2.7E+13,,,,
wbc,3,-6.1E+14,-3.1E+02,-4.1E+09,-1.3E+01,-6.5E+14,-6.5E+14,,,,
,,1.1E+15,7.2E+00,2.0E+09,4.5E-02,1.2E+15,1.2E+15,,,,
,6,-9.7E+42,-5.9E+06,-3.3E+29,-4.9E+02,-9.7E+42,-9.7E+42,,,,
,,5.4E+42,4.0E+05,7.3E+29,8.0E+00,5.4E+42,5.4E+42,,,,
,8,-2.4E+58,-5.0E+09,-1.9E+44,-5.3E+03,-2.4E+58,-2.4E+58,,,,
,,5.4E+58,1.0E+08,1.1E+44,7.6E+01,5.4E+58,5.4E+58,,,,
cardio,7,-2.7E+17,-2.6E+07,-1.2E+04,-4.0E+01,-1.2E+04,-1.5E+04,,,,
,,9.3E+16,3.0E+06,5.2E+03,4.5E-01,5.2E+03,5.1E+03,,,,
,11,-4.0E+30,-1.1E+14,-1.6E+10,-5.1E+03,-1.6E+10,-6.8E+08,,,,
,,1.5E+30,7.6E+13,8.4E+09,3.6E+01,8.4E+09,1.5E+09,,,,
,15,-1.6E+44,-1.1E+20,-6.7E+12,-1.1E+06,-9.4E+12,-2.3E+13,,,,
,,1.5E+43,3.8E+19,1.4E+13,2.2E+04,1.3E+13,3.1E+13,,,,
glass,3,-7.3E+01,-4.9E+01,-1.3E+01,-8.2E+00,-8.4E+02,-1.2E+03,,,,
,,2.3E+01,3.2E+00,3.6E+01,1.4E-01,4.3E+02,6.0E+02,,,,
,5,-9.4E+04,-1.3E+04,-9.4E+04,-5.2E+01,-9.4E+04,-9.4E+04,,,,
,,1.7E+05,2.1E+04,1.7E+05,6.4E+00,1.7E+05,1.7E+05,,,,
,7,-7.0E+11,-4.4E+07,-1.2E+09,-6.4E+02,-7.0E+11,-7.0E+11,,,,
,,3.9E+11,2.2E+07,6.4E+08,3.8E+01,3.9E+11,3.9E+11,,,,
heart,14,-2.0E+04,-2.5E+04,-2.1E+04,-1.5E+02,-2.1E+04,-2.5E+04,,,,
,,1.3E+03,3.2E+03,2.7E+03,2.7E+00,2.7E+03,3.4E+03,,,,
,22,-1.5E+10,-1.3E+08,-4.9E+08,-1.6E+06,-1.4E+10,-1.4E+10,,,,
,,3.6E+08,4.9E+06,2.1E+08,4.5E+04,3.1E+08,3.1E+08,,,,
,31,-3.5E+14,-4.0E+10,-1.8E+13,-5.9E+09,-3.5E+14,-3.5E+14,,,,
,,7.3E+14,8.0E+10,7.8E+12,8.5E+08,7.3E+14,7.3E+14,,,,
letter,10,-2.7E+09,-2.2E+08,-1.9E+04,-3.1E+02,-1.9E+04,-3.4E+04,,,,
,,1.5E+09,1.2E+08,6.5E+03,1.6E+01,6.5E+03,1.3E+04,,,,
,16,-2.3E+17,-2.4E+15,-2.5E+10,-6.2E+05,-2.5E+10,-2.8E+10,,,,
,,1.3E+17,9.3E+14,1.4E+10,8.5E+04,1.4E+10,1.5E+10,,,,
,23,-5.8E+25,-2.5E+02,-1.2E+16,-6.7E+09,-1.2E+16,-1.8E+16,,,,
,,8.0E+23,1.8E+01,1.3E+16,3.3E+08,1.3E+16,2.0E+16,,,,
vowels,4,-6.6E+00,-2.9E+00,-6.3E+00,-6.3E+00,-6.4E+00,-6.2E+00,,,,
,,1.5E-01,4.9E-02,1.5E-01,4.5E-03,1.3E-01,4.6E-01,,,,
,6,-2.2E+05,-2.6E+04,-1.0E+02,-3.7E+01,-1.0E+02,-8.7E+01,,,,
,,1.5E+05,1.9E+04,2.2E+01,4.5E-02,1.8E+01,8.5E+00,,,,
,9,-3.4E+09,-3.4E+07,-5.7E+03,-8.8E+02,-8.2E+03,-1.3E+04,,,,
,,1.9E+09,1.8E+07,8.1E+03,1.9E+01,6.7E+03,1.1E+04,,,,
wine-red,4,-2.0E+04,-2.8E+00,-1.2E+01,-9.9E+00,-1.3E+01,-1.5E+01,,,,
,,4.4E+04,3.1E-02,1.2E+00,1.9E-01,1.5E+00,1.5E+00,,,,
,6,-5.0E+09,4.2E+05,4.1E+01,-7.3E+01,4.1E+01,-1.7E+02,,,,
,,2.7E+09,2.3E+05,5.7E+02,8.9E-01,5.7E+02,4.0E+02,,,,
,8,-2.4E+14,-6.2E+07,-2.9E+05,-6.0E+02,-2.9E+05,-4.0E+05,,,,
,,5.4E+14,3.5E+07,1.3E+05,1.3E+00,1.3E+05,1.8E+05,,,,
wine-white,4,-7.2E+04,-6.9E+00,-2.2E+01,-1.8E+01,-2.4E+01,-2.5E+01,,,,
,,2.3E+05,4.7E-01,2.6E+00,8.9E-02,1.9E+00,1.1E+00,,,,
,6,-5.9E+10,-1.5E+05,-8.2E+02,-1.2E+02,-8.2E+02,-1.0E+03,,,,
,,3.0E+10,3.3E+05,1.4E+01,8.9E-01,1.4E+01,8.0E+00,,,,
,8,-4.6E+14,-1.7E+09,-2.1E+04,-1.1E+03,-2.1E+04,-2.6E+04,,,,
,,3.5E+14,1.1E+08,8.5E+02,0.0E+00,8.5E+02,7.6E+02,,,,
yeast,3,-6.8E+02,-2.8E+00,-4.7E+00,-6.0E+00,-4.8E+00,-4.8E+00,,,,
,,1.5E+03,2.2E-02,8.9E-02,5.8E-02,6.7E-02,1.4E-01,,,,
,4,-3.1E+07,-1.8E+02,-1.6E+01,-1.4E+01,-1.6E+01,-1.6E+01,,,,
,,1.6E+06,4.0E+02,1.0E+00,2.7E-01,1.2E+00,1.3E+00,,,,
,6,-6.6E+13,-1.0E+06,-6.6E+02,-1.4E+02,-7.1E+02,-5.9E+02,,,,
,,8.0E+12,5.7E+05,4.5E+00,8.9E-01,2.1E+01,1.1E+02,,,,